chromosome_name,external_gene_name,external_transcript_name,transcript_length,description
1,FAM231B,FAM231B-201,510,family with sequence similarity 231 member B [Source:HGNC Symbol;Acc:HGNC:49506]
1,HES2,HES2-202,507,hes family bHLH transcription factor 2 [Source:HGNC Symbol;Acc:HGNC:16005]
1,HES2,HES2-201,4262,hes family bHLH transcription factor 2 [Source:HGNC Symbol;Acc:HGNC:16005]
1,HES2,HES2-205,968,hes family bHLH transcription factor 2 [Source:HGNC Symbol;Acc:HGNC:16005]
1,HES2,HES2-206,730,hes family bHLH transcription factor 2 [Source:HGNC Symbol;Acc:HGNC:16005]
1,RCC1,RCC1-207,903,regulator of chromosome condensation 1 [Source:HGNC Symbol;Acc:HGNC:1913]
1,RCC1,RCC1-210,1070,regulator of chromosome condensation 1 [Source:HGNC Symbol;Acc:HGNC:1913]
1,RCC1,RCC1-203,2844,regulator of chromosome condensation 1 [Source:HGNC Symbol;Acc:HGNC:1913]
1,RCC1,RCC1-206,997,regulator of chromosome condensation 1 [Source:HGNC Symbol;Acc:HGNC:1913]
1,RCC1,RCC1-202,2424,regulator of chromosome condensation 1 [Source:HGNC Symbol;Acc:HGNC:1913]
1,RCC1,RCC1-201,1577,regulator of chromosome condensation 1 [Source:HGNC Symbol;Acc:HGNC:1913]
1,RCC1,RCC1-205,1169,regulator of chromosome condensation 1 [Source:HGNC Symbol;Acc:HGNC:1913]
1,RCC1,RCC1-212,481,regulator of chromosome condensation 1 [Source:HGNC Symbol;Acc:HGNC:1913]
1,RCC1,RCC1-209,1121,regulator of chromosome condensation 1 [Source:HGNC Symbol;Acc:HGNC:1913]
1,RCC1,RCC1-204,2715,regulator of chromosome condensation 1 [Source:HGNC Symbol;Acc:HGNC:1913]
1,ATPAF1,ATPAF1-214,4158,ATP synthase mitochondrial F1 complex assembly factor 1 [Source:HGNC Symbol;Acc:HGNC:18803]
1,ATPAF1,ATPAF1-206,429,ATP synthase mitochondrial F1 complex assembly factor 1 [Source:HGNC Symbol;Acc:HGNC:18803]
1,ATPAF1,ATPAF1-213,1760,ATP synthase mitochondrial F1 complex assembly factor 1 [Source:HGNC Symbol;Acc:HGNC:18803]
1,ATPAF1,ATPAF1-208,1222,ATP synthase mitochondrial F1 complex assembly factor 1 [Source:HGNC Symbol;Acc:HGNC:18803]
1,ATPAF1,ATPAF1-201,1241,ATP synthase mitochondrial F1 complex assembly factor 1 [Source:HGNC Symbol;Acc:HGNC:18803]
1,ATPAF1,ATPAF1-211,693,ATP synthase mitochondrial F1 complex assembly factor 1 [Source:HGNC Symbol;Acc:HGNC:18803]
1,ATPAF1,ATPAF1-210,998,ATP synthase mitochondrial F1 complex assembly factor 1 [Source:HGNC Symbol;Acc:HGNC:18803]
1,ATPAF1,ATPAF1-202,1827,ATP synthase mitochondrial F1 complex assembly factor 1 [Source:HGNC Symbol;Acc:HGNC:18803]
1,ATPAF1,ATPAF1-212,1779,ATP synthase mitochondrial F1 complex assembly factor 1 [Source:HGNC Symbol;Acc:HGNC:18803]
1,CELA3A,CELA3A-201,887,chymotrypsin like elastase family member 3A [Source:HGNC Symbol;Acc:HGNC:15944]
1,CELA3A,CELA3A-202,649,chymotrypsin like elastase family member 3A [Source:HGNC Symbol;Acc:HGNC:15944]
1,CELA3A,CELA3A-203,357,chymotrypsin like elastase family member 3A [Source:HGNC Symbol;Acc:HGNC:15944]
1,OPN3,OPN3-201,2620,opsin 3 [Source:HGNC Symbol;Acc:HGNC:14007]
1,PHC2,PHC2-202,2550,polyhomeotic homolog 2 [Source:HGNC Symbol;Acc:HGNC:3183]
1,PHC2,PHC2-203,2799,polyhomeotic homolog 2 [Source:HGNC Symbol;Acc:HGNC:3183]
1,PHC2,PHC2-201,3870,polyhomeotic homolog 2 [Source:HGNC Symbol;Acc:HGNC:3183]
1,PHC2,PHC2-204,3789,polyhomeotic homolog 2 [Source:HGNC Symbol;Acc:HGNC:3183]
1,NES,NES-201,5558,nestin [Source:HGNC Symbol;Acc:HGNC:7756]
1,FAM159A,FAM159A-204,748,family with sequence similarity 159 member A [Source:HGNC Symbol;Acc:HGNC:28757]
1,C1orf27,C1orf27-203,1900,chromosome 1 open reading frame 27 [Source:HGNC Symbol;Acc:HGNC:24299]
1,C1orf27,C1orf27-202,3754,chromosome 1 open reading frame 27 [Source:HGNC Symbol;Acc:HGNC:24299]
1,C1orf27,C1orf27-201,3792,chromosome 1 open reading frame 27 [Source:HGNC Symbol;Acc:HGNC:24299]
1,KCNK2,KCNK2-202,1410,potassium two pore domain channel subfamily K member 2 [Source:HGNC Symbol;Acc:HGNC:6277]
1,KCNK2,KCNK2-208,566,potassium two pore domain channel subfamily K member 2 [Source:HGNC Symbol;Acc:HGNC:6277]
1,KCNK2,KCNK2-201,1491,potassium two pore domain channel subfamily K member 2 [Source:HGNC Symbol;Acc:HGNC:6277]
1,KCNK2,KCNK2-203,3379,potassium two pore domain channel subfamily K member 2 [Source:HGNC Symbol;Acc:HGNC:6277]
1,KCNK2,KCNK2-204,644,potassium two pore domain channel subfamily K member 2 [Source:HGNC Symbol;Acc:HGNC:6277]
1,IKBKE,IKBKE-201,2493,inhibitor of nuclear factor kappa B kinase subunit epsilon [Source:HGNC Symbol;Acc:HGNC:14552]
1,IKBKE,IKBKE-204,2487,inhibitor of nuclear factor kappa B kinase subunit epsilon [Source:HGNC Symbol;Acc:HGNC:14552]
1,IKBKE,IKBKE-203,3221,inhibitor of nuclear factor kappa B kinase subunit epsilon [Source:HGNC Symbol;Acc:HGNC:14552]
1,IKBKE,IKBKE-202,678,inhibitor of nuclear factor kappa B kinase subunit epsilon [Source:HGNC Symbol;Acc:HGNC:14552]
1,IKBKE,IKBKE-205,580,inhibitor of nuclear factor kappa B kinase subunit epsilon [Source:HGNC Symbol;Acc:HGNC:14552]
1,F5,F5-202,7024,coagulation factor V [Source:HGNC Symbol;Acc:HGNC:3542]
1,F5,F5-201,7039,coagulation factor V [Source:HGNC Symbol;Acc:HGNC:3542]
1,TDRKH,TDRKH-205,2318,tudor and KH domain containing [Source:HGNC Symbol;Acc:HGNC:11713]
1,TDRKH,TDRKH-204,2651,tudor and KH domain containing [Source:HGNC Symbol;Acc:HGNC:11713]
1,TDRKH,TDRKH-203,2824,tudor and KH domain containing [Source:HGNC Symbol;Acc:HGNC:11713]
1,TDRKH,TDRKH-202,2751,tudor and KH domain containing [Source:HGNC Symbol;Acc:HGNC:11713]
1,TDRKH,TDRKH-201,3093,tudor and KH domain containing [Source:HGNC Symbol;Acc:HGNC:11713]
1,TDRKH,TDRKH-207,2768,tudor and KH domain containing [Source:HGNC Symbol;Acc:HGNC:11713]
1,TDRKH,TDRKH-213,568,tudor and KH domain containing [Source:HGNC Symbol;Acc:HGNC:11713]
1,TDRKH,TDRKH-206,2296,tudor and KH domain containing [Source:HGNC Symbol;Acc:HGNC:11713]
1,ARHGEF11,ARHGEF11-202,6889,Rho guanine nucleotide exchange factor 11 [Source:HGNC Symbol;Acc:HGNC:14580]
1,ARHGEF11,ARHGEF11-201,5788,Rho guanine nucleotide exchange factor 11 [Source:HGNC Symbol;Acc:HGNC:14580]
1,CDCP2,CDCP2-202,1623,CUB domain containing protein 2 [Source:HGNC Symbol;Acc:HGNC:27297]
1,CDCP2,CDCP2-201,2723,CUB domain containing protein 2 [Source:HGNC Symbol;Acc:HGNC:27297]
1,BSND,BSND-201,3472,barttin CLCNK type accessory beta subunit [Source:HGNC Symbol;Acc:HGNC:16512]
1,ESPN,ESPN-216,4731,espin [Source:HGNC Symbol;Acc:HGNC:13281]
1,ESPN,ESPN-201,3531,espin [Source:HGNC Symbol;Acc:HGNC:13281]
1,ESPN,ESPN-203,641,espin [Source:HGNC Symbol;Acc:HGNC:13281]
1,ESPN,ESPN-213,455,espin [Source:HGNC Symbol;Acc:HGNC:13281]
1,ESPN,ESPN-205,1869,espin [Source:HGNC Symbol;Acc:HGNC:13281]
1,ESPN,ESPN-207,813,espin [Source:HGNC Symbol;Acc:HGNC:13281]
1,ESPN,ESPN-210,270,espin [Source:HGNC Symbol;Acc:HGNC:13281]
1,ESPN,ESPN-214,1494,espin [Source:HGNC Symbol;Acc:HGNC:13281]
1,ESPN,ESPN-217,544,espin [Source:HGNC Symbol;Acc:HGNC:13281]
1,ESPN,ESPN-204,750,espin [Source:HGNC Symbol;Acc:HGNC:13281]
1,ESPN,ESPN-202,1338,espin [Source:HGNC Symbol;Acc:HGNC:13281]
1,C1QC,C1QC-203,1163,complement C1q C chain [Source:HGNC Symbol;Acc:HGNC:1245]
1,C1QC,C1QC-202,1183,complement C1q C chain [Source:HGNC Symbol;Acc:HGNC:1245]
1,C1QC,C1QC-201,1089,complement C1q C chain [Source:HGNC Symbol;Acc:HGNC:1245]
1,RIT1,RIT1-202,3445,Ras like without CAAX 1 [Source:HGNC Symbol;Acc:HGNC:10023]
1,RIT1,RIT1-205,919,Ras like without CAAX 1 [Source:HGNC Symbol;Acc:HGNC:10023]
1,RIT1,RIT1-201,855,Ras like without CAAX 1 [Source:HGNC Symbol;Acc:HGNC:10023]
1,RIT1,RIT1-206,574,Ras like without CAAX 1 [Source:HGNC Symbol;Acc:HGNC:10023]
1,DCLRE1B,DCLRE1B-201,3940,DNA cross-link repair 1B [Source:HGNC Symbol;Acc:HGNC:17641]
1,SDCCAG8,SDCCAG8-201,2567,serologically defined colon cancer antigen 8 [Source:HGNC Symbol;Acc:HGNC:10671]
1,SDCCAG8,SDCCAG8-205,1871,serologically defined colon cancer antigen 8 [Source:HGNC Symbol;Acc:HGNC:10671]
1,SDCCAG8,SDCCAG8-202,1551,serologically defined colon cancer antigen 8 [Source:HGNC Symbol;Acc:HGNC:10671]
1,GPATCH2,GPATCH2-202,5851,G-patch domain containing 2 [Source:HGNC Symbol;Acc:HGNC:25499]
1,GPATCH2,GPATCH2-201,3218,G-patch domain containing 2 [Source:HGNC Symbol;Acc:HGNC:25499]
1,TMEM9,TMEM9-204,1529,transmembrane protein 9 [Source:HGNC Symbol;Acc:HGNC:18823]
1,TMEM9,TMEM9-203,1564,transmembrane protein 9 [Source:HGNC Symbol;Acc:HGNC:18823]
1,TMEM9,TMEM9-201,1959,transmembrane protein 9 [Source:HGNC Symbol;Acc:HGNC:18823]
1,TMEM9,TMEM9-202,1544,transmembrane protein 9 [Source:HGNC Symbol;Acc:HGNC:18823]
1,TMEM9,TMEM9-209,938,transmembrane protein 9 [Source:HGNC Symbol;Acc:HGNC:18823]
1,TMEM9,TMEM9-207,487,transmembrane protein 9 [Source:HGNC Symbol;Acc:HGNC:18823]
1,TMEM9,TMEM9-206,507,transmembrane protein 9 [Source:HGNC Symbol;Acc:HGNC:18823]
1,TMEM9,TMEM9-205,545,transmembrane protein 9 [Source:HGNC Symbol;Acc:HGNC:18823]
1,CAMK1G,CAMK1G-201,2612,calcium/calmodulin dependent protein kinase IG [Source:HGNC Symbol;Acc:HGNC:14585]
1,CAMK1G,CAMK1G-203,808,calcium/calmodulin dependent protein kinase IG [Source:HGNC Symbol;Acc:HGNC:14585]
1,CAMK1G,CAMK1G-202,2440,calcium/calmodulin dependent protein kinase IG [Source:HGNC Symbol;Acc:HGNC:14585]
1,GSTM2,GSTM2-204,1730,glutathione S-transferase mu 2 [Source:HGNC Symbol;Acc:HGNC:4634]
1,GSTM2,GSTM2-207,1449,glutathione S-transferase mu 2 [Source:HGNC Symbol;Acc:HGNC:4634]
1,GSTM2,GSTM2-201,1157,glutathione S-transferase mu 2 [Source:HGNC Symbol;Acc:HGNC:4634]
1,GSTM2,GSTM2-209,476,glutathione S-transferase mu 2 [Source:HGNC Symbol;Acc:HGNC:4634]
1,GSTM2,GSTM2-205,982,glutathione S-transferase mu 2 [Source:HGNC Symbol;Acc:HGNC:4634]
1,GSTM2,GSTM2-203,914,glutathione S-transferase mu 2 [Source:HGNC Symbol;Acc:HGNC:4634]
1,GSTM2,GSTM2-206,1478,glutathione S-transferase mu 2 [Source:HGNC Symbol;Acc:HGNC:4634]
1,GSTM2,GSTM2-202,1073,glutathione S-transferase mu 2 [Source:HGNC Symbol;Acc:HGNC:4634]
1,COL16A1,COL16A1-203,5736,collagen type XVI alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2193]
1,COL16A1,COL16A1-204,672,collagen type XVI alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2193]
1,COL16A1,COL16A1-205,706,collagen type XVI alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2193]
1,COL16A1,COL16A1-202,3643,collagen type XVI alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2193]
1,COL16A1,COL16A1-201,924,collagen type XVI alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2193]
1,EVI5,EVI5-201,7403,ecotropic viral integration site 5 [Source:HGNC Symbol;Acc:HGNC:3501]
1,EVI5,EVI5-205,971,ecotropic viral integration site 5 [Source:HGNC Symbol;Acc:HGNC:3501]
1,EVI5,EVI5-208,7436,ecotropic viral integration site 5 [Source:HGNC Symbol;Acc:HGNC:3501]
1,ARF1,ARF1-201,1888,ADP ribosylation factor 1 [Source:HGNC Symbol;Acc:HGNC:652]
1,ARF1,ARF1-213,1972,ADP ribosylation factor 1 [Source:HGNC Symbol;Acc:HGNC:652]
1,ARF1,ARF1-214,2006,ADP ribosylation factor 1 [Source:HGNC Symbol;Acc:HGNC:652]
1,HHAT,HHAT-201,3594,hedgehog acyltransferase [Source:HGNC Symbol;Acc:HGNC:18270]
1,HHAT,HHAT-203,3626,hedgehog acyltransferase [Source:HGNC Symbol;Acc:HGNC:18270]
1,HHAT,HHAT-205,721,hedgehog acyltransferase [Source:HGNC Symbol;Acc:HGNC:18270]
1,HHAT,HHAT-202,2714,hedgehog acyltransferase [Source:HGNC Symbol;Acc:HGNC:18270]
1,HHAT,HHAT-206,3446,hedgehog acyltransferase [Source:HGNC Symbol;Acc:HGNC:18270]
1,HHAT,HHAT-207,3164,hedgehog acyltransferase [Source:HGNC Symbol;Acc:HGNC:18270]
1,HHAT,HHAT-208,3507,hedgehog acyltransferase [Source:HGNC Symbol;Acc:HGNC:18270]
1,HHAT,HHAT-204,3575,hedgehog acyltransferase [Source:HGNC Symbol;Acc:HGNC:18270]
1,HHAT,HHAT-209,2864,hedgehog acyltransferase [Source:HGNC Symbol;Acc:HGNC:18270]
1,CD55,CD55-205,1843,CD55 molecule (Cromer blood group) [Source:HGNC Symbol;Acc:HGNC:2665]
1,CD55,CD55-202,978,CD55 molecule (Cromer blood group) [Source:HGNC Symbol;Acc:HGNC:2665]
1,CD55,CD55-206,2433,CD55 molecule (Cromer blood group) [Source:HGNC Symbol;Acc:HGNC:2665]
1,CD55,CD55-201,2220,CD55 molecule (Cromer blood group) [Source:HGNC Symbol;Acc:HGNC:2665]
1,CD55,CD55-203,1691,CD55 molecule (Cromer blood group) [Source:HGNC Symbol;Acc:HGNC:2665]
1,CD55,CD55-204,2760,CD55 molecule (Cromer blood group) [Source:HGNC Symbol;Acc:HGNC:2665]
1,RIIAD1,RIIAD1-201,1772,regulatory subunit of type II PKA R-subunit (RIIa) domain containing 1 [Source:HGNC Symbol;Acc:HGNC:26686]
1,RIIAD1,RIIAD1-206,449,regulatory subunit of type II PKA R-subunit (RIIa) domain containing 1 [Source:HGNC Symbol;Acc:HGNC:26686]
1,GJB5,GJB5-201,1355,gap junction protein beta 5 [Source:HGNC Symbol;Acc:HGNC:4287]
1,SLC35F3,SLC35F3-202,2891,solute carrier family 35 member F3 [Source:HGNC Symbol;Acc:HGNC:23616]
1,SLC35F3,SLC35F3-201,2762,solute carrier family 35 member F3 [Source:HGNC Symbol;Acc:HGNC:23616]
1,CATSPERE,CATSPERE-201,3038,catsper channel auxiliary subunit epsilon [Source:HGNC Symbol;Acc:HGNC:28491]
1,CATSPERE,CATSPERE-202,3019,catsper channel auxiliary subunit epsilon [Source:HGNC Symbol;Acc:HGNC:28491]
1,CATSPERE,CATSPERE-204,2895,catsper channel auxiliary subunit epsilon [Source:HGNC Symbol;Acc:HGNC:28491]
1,CATSPERE,CATSPERE-203,3333,catsper channel auxiliary subunit epsilon [Source:HGNC Symbol;Acc:HGNC:28491]
1,CSF1,CSF1-209,577,colony stimulating factor 1 [Source:HGNC Symbol;Acc:HGNC:2432]
1,CSF1,CSF1-207,551,colony stimulating factor 1 [Source:HGNC Symbol;Acc:HGNC:2432]
1,CSF1,CSF1-202,597,colony stimulating factor 1 [Source:HGNC Symbol;Acc:HGNC:2432]
1,CSF1,CSF1-201,4210,colony stimulating factor 1 [Source:HGNC Symbol;Acc:HGNC:2432]
1,CSF1,CSF1-206,1009,colony stimulating factor 1 [Source:HGNC Symbol;Acc:HGNC:2432]
1,CSF1,CSF1-204,2484,colony stimulating factor 1 [Source:HGNC Symbol;Acc:HGNC:2432]
1,CSF1,CSF1-205,1083,colony stimulating factor 1 [Source:HGNC Symbol;Acc:HGNC:2432]
1,CSF1,CSF1-203,1364,colony stimulating factor 1 [Source:HGNC Symbol;Acc:HGNC:2432]
1,DPT,DPT-201,1786,dermatopontin [Source:HGNC Symbol;Acc:HGNC:3011]
1,GPR161,GPR161-204,2676,G protein-coupled receptor 161 [Source:HGNC Symbol;Acc:HGNC:23694]
1,GPR161,GPR161-203,1983,G protein-coupled receptor 161 [Source:HGNC Symbol;Acc:HGNC:23694]
1,GPR161,GPR161-202,2400,G protein-coupled receptor 161 [Source:HGNC Symbol;Acc:HGNC:23694]
1,GPR161,GPR161-210,7388,G protein-coupled receptor 161 [Source:HGNC Symbol;Acc:HGNC:23694]
1,GPR161,GPR161-201,7806,G protein-coupled receptor 161 [Source:HGNC Symbol;Acc:HGNC:23694]
1,GPR161,GPR161-209,7655,G protein-coupled receptor 161 [Source:HGNC Symbol;Acc:HGNC:23694]
1,GPR161,GPR161-208,8256,G protein-coupled receptor 161 [Source:HGNC Symbol;Acc:HGNC:23694]
1,SF3B4,SF3B4-201,2085,splicing factor 3b subunit 4 [Source:HGNC Symbol;Acc:HGNC:10771]
1,SF3B4,SF3B4-202,826,splicing factor 3b subunit 4 [Source:HGNC Symbol;Acc:HGNC:10771]
1,WARS2,WARS2-202,2811,"tryptophanyl tRNA synthetase 2, mitochondrial [Source:HGNC Symbol;Acc:HGNC:12730]"
1,WARS2,WARS2-201,2800,"tryptophanyl tRNA synthetase 2, mitochondrial [Source:HGNC Symbol;Acc:HGNC:12730]"
1,PTGS2,PTGS2-201,4514,prostaglandin-endoperoxide synthase 2 [Source:HGNC Symbol;Acc:HGNC:9605]
1,TGFBR3,TGFBR3-202,4550,transforming growth factor beta receptor 3 [Source:HGNC Symbol;Acc:HGNC:11774]
1,TGFBR3,TGFBR3-207,3927,transforming growth factor beta receptor 3 [Source:HGNC Symbol;Acc:HGNC:11774]
1,TGFBR3,TGFBR3-204,2908,transforming growth factor beta receptor 3 [Source:HGNC Symbol;Acc:HGNC:11774]
1,TGFBR3,TGFBR3-203,551,transforming growth factor beta receptor 3 [Source:HGNC Symbol;Acc:HGNC:11774]
1,TGFBR3,TGFBR3-201,6465,transforming growth factor beta receptor 3 [Source:HGNC Symbol;Acc:HGNC:11774]
1,ACOT11,ACOT11-201,3082,acyl-CoA thioesterase 11 [Source:HGNC Symbol;Acc:HGNC:18156]
1,ACOT11,ACOT11-202,6369,acyl-CoA thioesterase 11 [Source:HGNC Symbol;Acc:HGNC:18156]
1,USH2A,USH2A-202,6320,usherin [Source:HGNC Symbol;Acc:HGNC:12601]
1,USH2A,USH2A-201,18883,usherin [Source:HGNC Symbol;Acc:HGNC:12601]
1,GREM2,GREM2-201,4170,"gremlin 2, DAN family BMP antagonist [Source:HGNC Symbol;Acc:HGNC:17655]"
1,PFKFB2,PFKFB2-208,543,"6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 2 [Source:HGNC Symbol;Acc:HGNC:8873]"
1,PFKFB2,PFKFB2-210,554,"6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 2 [Source:HGNC Symbol;Acc:HGNC:8873]"
1,PFKFB2,PFKFB2-202,7094,"6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 2 [Source:HGNC Symbol;Acc:HGNC:8873]"
1,PFKFB2,PFKFB2-201,3494,"6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 2 [Source:HGNC Symbol;Acc:HGNC:8873]"
1,ADIPOR1,ADIPOR1-201,2177,adiponectin receptor 1 [Source:HGNC Symbol;Acc:HGNC:24040]
1,ADIPOR1,ADIPOR1-203,1058,adiponectin receptor 1 [Source:HGNC Symbol;Acc:HGNC:24040]
1,ADIPOR1,ADIPOR1-204,879,adiponectin receptor 1 [Source:HGNC Symbol;Acc:HGNC:24040]
1,ADIPOR1,ADIPOR1-202,1116,adiponectin receptor 1 [Source:HGNC Symbol;Acc:HGNC:24040]
1,BCL2L15,BCL2L15-202,1084,BCL2 like 15 [Source:HGNC Symbol;Acc:HGNC:33624]
1,BCL2L15,BCL2L15-203,276,BCL2 like 15 [Source:HGNC Symbol;Acc:HGNC:33624]
1,BCL2L15,BCL2L15-204,267,BCL2 like 15 [Source:HGNC Symbol;Acc:HGNC:33624]
1,TBX15,TBX15-201,3492,T-box 15 [Source:HGNC Symbol;Acc:HGNC:11594]
1,TBX15,TBX15-203,2678,T-box 15 [Source:HGNC Symbol;Acc:HGNC:11594]
1,TBX15,TBX15-202,3504,T-box 15 [Source:HGNC Symbol;Acc:HGNC:11594]
1,SGIP1,SGIP1-201,3997,SH3 domain GRB2 like endophilin interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:25412]
1,SGIP1,SGIP1-204,4080,SH3 domain GRB2 like endophilin interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:25412]
1,SGIP1,SGIP1-205,951,SH3 domain GRB2 like endophilin interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:25412]
1,SGIP1,SGIP1-203,7768,SH3 domain GRB2 like endophilin interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:25412]
1,SGIP1,SGIP1-206,3646,SH3 domain GRB2 like endophilin interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:25412]
1,APH1A,APH1A-203,1713,"aph-1 homolog A, gamma-secretase subunit [Source:HGNC Symbol;Acc:HGNC:29509]"
1,APH1A,APH1A-202,2353,"aph-1 homolog A, gamma-secretase subunit [Source:HGNC Symbol;Acc:HGNC:29509]"
1,APH1A,APH1A-201,663,"aph-1 homolog A, gamma-secretase subunit [Source:HGNC Symbol;Acc:HGNC:29509]"
1,APH1A,APH1A-204,1718,"aph-1 homolog A, gamma-secretase subunit [Source:HGNC Symbol;Acc:HGNC:29509]"
1,SRARP,SRARP-201,3039,steroid receptor associated and regulated protein [Source:HGNC Symbol;Acc:HGNC:28339]
1,XPR1,XPR1-202,8474,xenotropic and polytropic retrovirus receptor 1 [Source:HGNC Symbol;Acc:HGNC:12827]
1,XPR1,XPR1-201,4126,xenotropic and polytropic retrovirus receptor 1 [Source:HGNC Symbol;Acc:HGNC:12827]
1,CCDC24,CCDC24-201,1463,coiled-coil domain containing 24 [Source:HGNC Symbol;Acc:HGNC:28688]
1,CCDC24,CCDC24-204,697,coiled-coil domain containing 24 [Source:HGNC Symbol;Acc:HGNC:28688]
1,GNPAT,GNPAT-203,839,glyceronephosphate O-acyltransferase [Source:HGNC Symbol;Acc:HGNC:4416]
1,GNPAT,GNPAT-201,2643,glyceronephosphate O-acyltransferase [Source:HGNC Symbol;Acc:HGNC:4416]
1,GNPAT,GNPAT-202,1924,glyceronephosphate O-acyltransferase [Source:HGNC Symbol;Acc:HGNC:4416]
1,LRIG2,LRIG2-201,11555,leucine rich repeats and immunoglobulin like domains 2 [Source:HGNC Symbol;Acc:HGNC:20889]
1,AIDA,AIDA-201,3008,"axin interactor, dorsalization associated [Source:HGNC Symbol;Acc:HGNC:25761]"
1,AIDA,AIDA-202,1072,"axin interactor, dorsalization associated [Source:HGNC Symbol;Acc:HGNC:25761]"
1,GNG5,GNG5-202,790,G protein subunit gamma 5 [Source:HGNC Symbol;Acc:HGNC:4408]
1,GNG5,GNG5-201,920,G protein subunit gamma 5 [Source:HGNC Symbol;Acc:HGNC:4408]
1,HSD17B7,HSD17B7-203,507,hydroxysteroid 17-beta dehydrogenase 7 [Source:HGNC Symbol;Acc:HGNC:5215]
1,HSD17B7,HSD17B7-201,1190,hydroxysteroid 17-beta dehydrogenase 7 [Source:HGNC Symbol;Acc:HGNC:5215]
1,HSD17B7,HSD17B7-202,666,hydroxysteroid 17-beta dehydrogenase 7 [Source:HGNC Symbol;Acc:HGNC:5215]
1,C1orf198,C1orf198-201,3858,chromosome 1 open reading frame 198 [Source:HGNC Symbol;Acc:HGNC:25900]
1,C1orf198,C1orf198-203,3819,chromosome 1 open reading frame 198 [Source:HGNC Symbol;Acc:HGNC:25900]
1,C1orf198,C1orf198-202,3666,chromosome 1 open reading frame 198 [Source:HGNC Symbol;Acc:HGNC:25900]
1,C1orf198,C1orf198-207,1041,chromosome 1 open reading frame 198 [Source:HGNC Symbol;Acc:HGNC:25900]
1,C1orf198,C1orf198-206,675,chromosome 1 open reading frame 198 [Source:HGNC Symbol;Acc:HGNC:25900]
1,SLC2A5,SLC2A5-202,4165,solute carrier family 2 member 5 [Source:HGNC Symbol;Acc:HGNC:11010]
1,SLC2A5,SLC2A5-201,2344,solute carrier family 2 member 5 [Source:HGNC Symbol;Acc:HGNC:11010]
1,SLC2A5,SLC2A5-207,684,solute carrier family 2 member 5 [Source:HGNC Symbol;Acc:HGNC:11010]
1,SLC2A5,SLC2A5-205,846,solute carrier family 2 member 5 [Source:HGNC Symbol;Acc:HGNC:11010]
1,SLC2A5,SLC2A5-206,758,solute carrier family 2 member 5 [Source:HGNC Symbol;Acc:HGNC:11010]
1,SLC2A5,SLC2A5-208,889,solute carrier family 2 member 5 [Source:HGNC Symbol;Acc:HGNC:11010]
1,SLC2A5,SLC2A5-210,755,solute carrier family 2 member 5 [Source:HGNC Symbol;Acc:HGNC:11010]
1,SLC2A5,SLC2A5-203,676,solute carrier family 2 member 5 [Source:HGNC Symbol;Acc:HGNC:11010]
1,SLC2A5,SLC2A5-204,455,solute carrier family 2 member 5 [Source:HGNC Symbol;Acc:HGNC:11010]
1,TEX46,TEX46-201,509,testis expressed 46 [Source:HGNC Symbol;Acc:HGNC:44651]
1,TEX46,TEX46-202,510,testis expressed 46 [Source:HGNC Symbol;Acc:HGNC:44651]
1,TEX46,TEX46-203,479,testis expressed 46 [Source:HGNC Symbol;Acc:HGNC:44651]
1,SNAP47,SNAP47-201,2367,synaptosome associated protein 47 [Source:HGNC Symbol;Acc:HGNC:30669]
1,SNAP47,SNAP47-208,870,synaptosome associated protein 47 [Source:HGNC Symbol;Acc:HGNC:30669]
1,SNAP47,SNAP47-212,829,synaptosome associated protein 47 [Source:HGNC Symbol;Acc:HGNC:30669]
1,SNAP47,SNAP47-213,1905,synaptosome associated protein 47 [Source:HGNC Symbol;Acc:HGNC:30669]
1,SNAP47,SNAP47-205,2403,synaptosome associated protein 47 [Source:HGNC Symbol;Acc:HGNC:30669]
1,SNAP47,SNAP47-204,1867,synaptosome associated protein 47 [Source:HGNC Symbol;Acc:HGNC:30669]
1,SNAP47,SNAP47-202,2362,synaptosome associated protein 47 [Source:HGNC Symbol;Acc:HGNC:30669]
1,SNAP47,SNAP47-203,1446,synaptosome associated protein 47 [Source:HGNC Symbol;Acc:HGNC:30669]
1,GGPS1,GGPS1-206,1396,geranylgeranyl diphosphate synthase 1 [Source:HGNC Symbol;Acc:HGNC:4249]
1,GGPS1,GGPS1-204,850,geranylgeranyl diphosphate synthase 1 [Source:HGNC Symbol;Acc:HGNC:4249]
1,GGPS1,GGPS1-201,2895,geranylgeranyl diphosphate synthase 1 [Source:HGNC Symbol;Acc:HGNC:4249]
